ASV,Domain,Phylum,Class,Order,Family,Genus,Species,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
fd0eb9ae2791f68a971a8454bf128700,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Lysobacterales, f__Rhodanobacteraceae, g__Luteibacter,NA,4.6673886027567,-1.9954965877254,0.471176176453537,-4.2351389723164,2.28410401398715e-05,0.00149037786912661
6deb9f88f14df479760ec8a1721a63ba,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Azospirillales, f__Inquilinaceae, g__Inquilinus,NA,10.9941393006675,-1.87995389147287,0.473939789237014,-3.96665132188915,7.28895047887043e-05,0.00380483214997037
fcaaabda58a84843922b32d8416c0fad,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Xanthobacteraceae, g__Tardiphaga,NA,9.202811525156,-1.79079666424873,0.59359717926029,-3.01685507751289,0.00255411888877728,0.0370347238872706
68ca022ba12a98d7b3553e07f91be1b7,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Caulobacter,NA,9.63527904941832,-1.72194511569166,0.610899078237722,-2.81870635761802,0.00482176062194189,0.0466103526787716
523a4c362ca9ac6319ef1e433a32071e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Puia,NA,3.39070584103941,-1.66742655700255,0.45158772393055,-3.69236466945896,0.000222178573728814,0.00724857596790254
8f30758a164d8864cfa62ec764a376ad,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Devosiaceae, g__Arsenicitalea,NA,5.23355938857181,-1.56163541145577,0.540620873233346,-2.88859622107436,0.0038696561665935,0.0420825108117043
3ffca74fbb25c539b9f4c910043ac247,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Mycobacteriales, f__Corynebacteriaceae, g__Incertae_Sedis,NA,1.79203707027745,-1.42181207853807,0.398644882765291,-3.56661314369659,0.000361624715706226,0.00994169269811617
77aa8acf2259da82882800d69feb0e95,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Elsterales, f__Elsteraceae, g__Aliidongia,NA,4.4308251107377,-1.41871657585125,0.480137547366585,-2.95481281068831,0.00312858811549226,0.0388838808639753
21c0814420f7aed9d50d045ec2e2b0b2,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Frankiales, f__Frankiaceae, g__Jatrophihabitans,NA,28.6696802499828,-1.40337492498591,0.500296786127162,-2.80508482944603,0.00503033389363825,0.0468898980799851
365936ac898296af3540373a2305661a,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Lysobacterales, f__Rhodanobacteraceae, g__Dokdonella,NA,3.76067737522837,-1.39938957893514,0.446213154871174,-3.13614595100665,0.00171183989062108,0.0279243882157564
466f89439ef6816b130cf0f84e2b6af3,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sandaracinobacter,NA,1.69742490494227,-1.30853866687201,0.375039670030172,-3.48906734790678,0.000484709010160698,0.0115008228774493
28d5450a0c00e1e6e58465771d72681e,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Hephaestia,NA,2.01025027506399,-1.25159074623736,0.376139222940601,-3.32746671951043,0.000876394566825564,0.0175953063031902
84a15170e4e35dd078a01d87882294b3,d__Bacteria, p__Actinomycetota, c__Actinobacteria, o__Pseudonocardiales, f__Pseudonocardiaceae, g__Actinophytocola,NA,2.27234124614411,-1.19689369128728,0.410418164751158,-2.91627855217609,0.00354234087288115,0.0420250439919082
947091df5d41f7a0a67fd3878042ac05,d__Bacteria, p__Acidobacteriota, c__Acidobacteriae, o__Terriglobales, f__Acidobacteriaceae_(Subgroup_1), g__Acidicapsa,NA,1.46015147424032,-1.17386353194559,0.369029756999719,-3.18094546491132,0.00146795260372474,0.0273668306837256
b95e15fd30eae1a9119235b9972c2ec8,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Roseococcus,NA,1.52510079125136,-1.03775850075804,0.358784073766472,-2.89243190162756,0.00382272042138003,0.0420825108117043
46250f859a7b516a4bbbd1f15134931e,d__Bacteria, p__Acidobacteriota, c__Vicinamibacteria, o__Subgroup_17, f__Incertae_Sedis, g__Incertae_Sedis.1,NA,3.23715409463361,1.39753059318705,0.49209833805669,2.83994170495665,0.00451217787206436,0.0457577359098664
8632bb3994630367c1b203bd3af6a922,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Rhodomicrobiaceae, g__Rhodomicrobium,NA,4.37932990017561,1.45631321493674,0.474668476249364,3.06806389681475,0.00215450544506137,0.0330779953624128
f292f436f8cb2f655dfed96986fd3928,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Beijerinckiaceae, g__Psychroglaciecola,NA,2.35891997173769,1.57005521012279,0.525414044059553,2.98822467323471,0.00280603195222748,0.0385460178700723
652b2804bc6e0d3a2e49b05be59ae8e4,d__Bacteria, p__Pseudomonadota, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Piscinibacter,NA,3.59659243974598,1.60431877341225,0.56555813812249,2.83670000530481,0.00455824189140432,0.0457577359098664
59acf06cbf11294381261ccf1e2f711e,d__Bacteria, p__Pseudomonadota, c__Alphaproteobacteria, o__Hyphomicrobiales, f__Beijerinckiaceae, g__Enterovirga,NA,2.12581111860765,1.70743897394799,0.507530816629229,3.36420748849884,0.000767638085635706,0.0166961283625766
